sd_s38,sd_s1000,sd_theta,sd_gamma,sd_beta,fd_totalEnergy,E_CIC,E_ML,err_CIC,err_ML
5.08,5.53,28.67,0.04,-2.19,0.862,0.9574839631555477,0.9719355143136564,0.11077025888114587,0.12753539943579634
16.38,14.75,43.63,0.04,-2.04,2.949,3.105038570371257,3.111019524637402,0.05291236702992778,0.05494049665561286
19.33,20.76,34.9,0.0,-2.2,4.266,3.6672160019015307,3.8229991704288415,-0.14036193110606407,-0.10384454514091854
5.99,6.18,37.58,0.01,-2.08,1.23,1.1299114756026232,1.1384180380385063,-0.08137278406290797,-0.07445687964349082
7.7,4.3,58.58,-0.02,-1.54,0.796,1.4542578835162812,1.319341967518402,0.8269571400958305,0.6574647833145753
6.99,8.12,23.05,0.05,-2.27,1.229,1.3195398640877005,1.411695839503533,0.0736695395343372,0.14865405980759394
9.66,6.1,55.83,0.05,-1.67,2.487,1.8264560646548984,1.782666864450301,-0.2655986873120634,-0.28320592503003583
17.13,18.47,29.4,0.01,-2.25,2.72,3.2479213536335947,3.2264964057194945,0.19408873295352738,0.1862119138674611
5.51,6.01,23.79,0.05,-2.24,0.888,1.0389433857109809,1.035926208072366,0.16998129021506855,0.16658356764906068
16.7,17.82,29.66,0.01,-2.25,2.717,3.1659980629506093,3.141339301622671,0.16525508389790547,0.1561793528239496
7.4,6.54,43.25,0.04,-1.99,1.809,1.3973270272019536,1.3153994144378323,-0.22756936030848335,-0.27285825625327126
7.43,8.68,23.16,0.04,-2.27,1.195,1.4030196125726901,1.5084903279661337,0.17407498960057746,0.26233500248212016
4.27,3.64,46.32,0.1,-1.88,1.025,0.8041312519332778,0.7900192015713913,-0.21548170543094838,-0.22924955944254502
7.85,8.58,24.58,0.04,-2.26,1.972,1.4827274048732997,1.4985902226582877,-0.2481098352569474,-0.2400658100110103
42.36,24.34,56.01,0.03,-1.8,9.502,8.067259895072583,7.785164119025593,-0.15099348610054908,-0.18068152820189515
4.33,3.98,43.45,0.05,-1.95,1.16,0.815486139084236,0.8440015050214078,-0.29699470768600345,-0.27241249567120013
9.25,6.83,50.59,0.12,-1.82,1.615,1.7485649496590596,1.7012518735324853,0.08270275520684807,0.0534067328374522
12.66,14.52,20.37,0.03,-2.32,1.546,2.3968449289971336,2.481690775673453,0.5503524767122469,0.6052333607202154
6.94,7.54,31.89,0.02,-2.17,1.111,1.3100551248815828,1.3426786396228823,0.17916752914633918,0.2085316288234764
3.64,3.46,39.61,0.01,-2.01,0.772,0.6849542765662963,0.6661067326171692,-0.11275352776386496,-0.13716744479641294
8.89,8.29,39.99,0.01,-2.06,1.709,1.6801866428678742,1.6075146880087685,-0.01685977596964649,-0.05938286248755504
5.17,4.62,42.43,0.03,-1.98,0.783,0.9745309121378677,0.9666741655730031,0.24461163746854106,0.23457747838186857
11.39,10.61,43.1,0.04,-2.02,2.102,2.1552891731574664,2.138509776155677,0.025351652310878454,0.017369065725821687
10.54,11.37,30.56,0.02,-2.21,2.072,1.9936907365558099,2.0195369201717615,-0.03779404606379836,-0.025320019222122882
21.5,22.07,35.22,0.0,-2.2,4.301,4.0810221774423505,4.057194133930753,-0.051145738795082454,-0.05668585586357765
30.31,29.04,37.81,-0.01,-2.18,5.892,5.762958132157423,5.341755485711001,-0.021901199565949984,-0.09338841043601478
13.24,14.9,27.46,0.02,-2.26,2.195,2.5072019040754383,2.5779563819802367,0.1422332137017943,0.17446759999099629
3.82,2.99,49.75,0.14,-1.78,0.954,0.7189952529347431,0.7507140347164065,-0.2463362128566634,-0.21308801392410215
17.98,18.91,32.27,0.01,-2.23,4.249,3.409892086428009,3.35621521423997,-0.19748362286937887,-0.21011644757826073
